Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000138,2016-12-11,2020-01-13,"Once Upon a Time in Hollywood, What's Eating Gilbert Grape, The Aviator, Blood Diamond, The Wolf of Wall Street, The Revenant",Leonardo DiCaprio,Inception,1974-11-11
2,nm0186505,2016-12-11,2016-12-11,Trumbo,Bryan Cranston,Breaking Bad,1956-03-07
3,nm0000354,2016-12-11,2016-12-11,"Good Will Hunting, Invictus, The Martian",Matt Damon,Good Will Hunting,1970-10-08
4,nm1055413,2016-12-11,2016-12-11,"12 Years a Slave, Steve Jobs",Michael Fassbender,Shame,1977-04-02
5,nm1519666,2016-12-11,2016-12-11,"The Theory of Everything, The Danish Girl",Eddie Redmayne,Les Misérables,1982-01-06
6,nm0488953,2016-12-11,2016-12-11,Room,Brie Larson,Room,1989-10-01
7,nm0000949,2016-12-11,2016-12-11,"Elizabeth, The Aviator, Notes on a Scandal, Elizabeth: The Golden Age, I'm Not there, Blue Jasmine, Carol",Cate Blanchett,Carol,1969-05-14
8,nm2225369,2016-12-11,2016-12-11,"Winter's Bone, Silver Linings Playbook, American Hustle, Joy",Jennifer Lawrence,The Hunger Games,1990-08-15
9,nm0001648,2016-12-11,2016-12-11,45 Years,Charlotte Rampling,Swimming Pool,1946-02-05
10,nm1519680,2016-12-11,2020-01-13,"Little Women, Lady Bird, Atonement, Brooklyn",Saoirse Ronan,Hanna,1994-04-12
11,nm0753314,2016-12-11,2016-12-11,Bridge of Spies,Mark Rylance,Bridge of Spies,1960-01-18
12,nm0000288,2016-12-11,2019-01-22,"Vice, The Fighter, American Hustle, The Big Short",Christian Bale,The Dark Knight,1974-01-30
13,nm0362766,2016-12-11,2016-12-11,The Revenant,Tom Hardy,Inception,1977-09-15
14,nm0749263,2016-12-11,2016-12-11,"The Kids Are All Right, Foxcatcher, Spotlight",Mark Ruffalo,Spotlight,1967-11-22
15,nm0000230,2016-12-11,2016-12-11,"Rocky, Creed",Sylvester Stallone,Rocky,1946-07-06
16,nm2539953,2016-12-11,2016-12-11,The Danish Girl,Alicia Vikander,Ex Machina,1988-10-03
17,nm0000492,2016-12-11,2016-12-11,The Hateful Eight,Jennifer Jason Leigh,The Hateful Eight,1962-02-05
18,nm1913734,2016-12-11,2016-12-11,"The Girl with the Dragon Tattoo, Carol",Rooney Mara,Carol,1985-04-17
19,nm1046097,2016-12-11,2016-12-11,Spotlight,Rachel McAdams,The Notebook,1978-11-17
20,nm0000701,2016-12-11,2016-12-11,"Sense and Sensibility, Titanic, Iris, Eternal Sunshine of the Spotless Mind, Little Children, The Reader, Steve Jobs",Kate Winslet,Titanic,1975-10-05
21,nm0136797,2016-12-11,2016-12-11,Foxcatcher,Steve Carell,The Office,1962-08-16
22,nm0177896,2016-12-11,2019-01-22,"A Star is Born, American Sniper, American Hustle, Silver Linings Playbook",Bradley Cooper,A Star Is Born,1975-01-05
23,nm1212722,2016-12-11,2022-02-10,"The Power of the Dog, The Imitation Game",Benedict Cumberbatch,Star Trek Into Darkness,1976-07-19
24,nm0000474,2016-12-11,2016-12-11,Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),1951-09-05
25,nm0000194,2016-12-11,2016-12-11,"Boogie Nights, The End of the Affair, Far From Heaven, The Hours, Still Alice",Julianne Moore,Far from Heaven,1960-12-03
26,nm0182839,2016-12-11,2016-12-11,"Le Vie en Rose, Two Days One Night",Marion Cotillard,La Môme,1975-09-30
27,nm0428065,2016-12-11,2016-12-11,The Theory of Everything,Felicity Jones,Rogue One,1983-10-17
28,nm0683253,2016-12-11,2016-12-11,Gone Girl,Rosamund Pike,Gone Girl,
29,nm0000702,2016-12-11,2016-12-11,"Walk the Line, Wild",Reese Witherspoon,Wild,1976-03-22
30,nm0799777,2016-12-11,2022-02-10,"Being the Ricardos, Whiplash",J.K. Simmons,Whiplash,1955-01-09
31,nm0000380,2016-12-11,2016-12-11,"The Judge, A Civil Action, The Apostle, Tender Mercies, The Great Santini, Apocalypse Now, The Godfather",Robert Duvall,The Apostle,1931-01-05
32,nm0000160,2016-12-11,2016-12-11,"Training Day, Boyhood",Ethan Hawke,Training Day,1970-11-06
33,nm0001570,2016-12-11,2016-12-11,"Primal Fear, American History X, Birdman or (The Unexpected Virtue of Ignorance)",Edward Norton,Fight Club,1969-08-18
34,nm0000099,2016-12-11,2016-12-11,Boyhood,Patricia Arquette,True Romance,1968-04-08
35,nm0000368,2016-12-11,2020-01-13,"Marriage Story, Rambling Rose, Wild",Laura Dern,Jurassic Park,1967-02-10
36,nm0461136,2016-12-11,2016-12-11,"Pride and Prejudice, The Imitation Game",Keira Knightley,Pirates of the Caribbean: The Curse of the Black Pearl,1985-03-26
37,nm1297015,2016-12-11,2019-01-22,"The Favourite, Birdman or (The Unexpected Virtue of Ignorance), La La Land",Emma Stone,La La Land,1988-11-06
38,nm0000658,2016-12-11,2018-01-23,"The Post, Into the Woods, August: Osage County, The Iron Lady, Julie and Julia, Doubt, The Devil Wears Prada, Adaptation, Music of the Heart, One True Thing, The Bridges of Madison County, Postcards From the Edge, A Cry in the Dark, Ironweed, Out of Africa, Silkwood, Sophie's Choice, The French Lieutenant's Woman, Kramer vs. Kramer, The Deer Hunter, Florence Foster Jenkins",Meryl Streep,Out of Africa,1949-06-22
39,nm0000190,2016-12-11,2016-12-11,The Dallas Buyers Club,Matthew McConaughey,Dallas Buyers Club,1969-11-04
40,nm0001136,2016-12-11,2016-12-11,"Coming Home, Nebraska",Bruce Dern,Nebraska,1936-06-04
41,nm0252230,2016-12-11,2016-12-11,12 Years a Slave,Chiwetel Ejiofor,12 Years a Slave,1977-07-10
42,nm0001467,2016-12-11,2016-12-11,The Dallas Buyers Club,Jared Leto,Dallas Buyers Club,1971-12-26
43,nm5831542,2016-12-11,2016-12-11,Captain Phillips,Barkhad Abdi,Captain Phillips,1985-04-10
44,nm1706767,2016-12-11,2016-12-11,"The Wolf of Wall Street, Moneyball",Jonah Hill,21 Jump Street,1983-12-20
45,nm0010736,2016-12-11,2019-01-22,"Vice, Junebug, Doubt, The Fighter, The Master, American Hustle",Amy Adams,Arrival,1974-08-20
46,nm0000113,2016-12-11,2016-12-11,"The Blind Side, Gravity",Sandra Bullock,The Proposal,1964-07-26
47,nm0001132,2016-12-11,2022-02-10,"Belfast, Philomena, Notes on a Scandal, Mrs. Henderson Presents, Iris, Chocolat, Shakespeare in Love, Mrs. Brown",Judi Dench,Skyfall,1934-12-09
48,nm2143282,2016-12-11,2016-12-11,12 Years a Slave,Lupita Nyong'o,12 Years a Slave,1983-03-01
49,nm1020089,2016-12-11,2018-01-23,"The Shape of Water, Blue Jasmine",Sally Hawkins,The Shape of Water,1976-04-27
50,nm0000210,2016-12-11,2016-12-11,"August: Osage County, Erin Brokovich, Pretty Woman, Steel Magnolias",Julia Roberts,Pretty Woman,1967-10-28
51,nm0820053,2016-12-11,2016-12-11,Nebraska,June Squibb,Nebraska,1929-11-06
52,nm0000358,2016-12-11,2018-01-23,"Phantom Thread, Lincoln, There Will Be Blood, Gangs of New York, In the Name of the Father, My Left Foot",Daniel Day-Lewis,There Will Be Blood,1957-04-29
53,nm0413168,2016-12-11,2016-12-11,Les Miserables,Hugh Jackman,Les Misérables,1968-10-12
54,nm0001618,2016-12-11,2020-01-13,"Joker, The Master, Walk the Line, Gladiator",Joaquin Phoenix,Her,1974-10-28
55,nm0000243,2016-12-11,2022-02-10,"The Tragedy of Macbeth, Roman J. Israel Esq., Fences, Flight, Training Day, The Hurricane, Malcolm X, Glory, Cry Freedom",Denzel Washington,Fences,1954-12-28
56,nm1567113,2016-12-11,2022-02-10,"The Eyes of Tammy Faye, Zero Dark Thirty, The Help",Jessica Chastain,Zero Dark Thirty,1977-03-24
57,nm0728938,2016-12-11,2016-12-11,Amour,Emmanuelle Riva,Hiroshima mon amour,1927-02-24
58,nm4832920,2016-12-11,2016-12-11,Beasts of the Southern Wild,Quvenzhané Wallis,Beasts of the Southern Wild,2003-08-28
59,nm0915208,2016-12-11,2016-12-11,"21 Grams, The Impossible",Naomi Watts,Mulholland Dr.,1968-09-28
60,nm0004266,2016-12-11,2016-12-11,"Les Miserables, Rachel Getting Married",Anne Hathaway,Les Misérables,1982-11-12
61,nm0000398,2016-12-11,2016-12-11,"Lincoln, Places in the Heart, Norma Rae",Sally Field,Forrest Gump,1946-11-06
62,nm0000166,2016-12-11,2016-12-11,"The Sessions, As Good As It Gets",Helen Hunt,As Good as It Gets,1963-06-15
63,nm0915865,2016-12-11,2016-12-11,"Silver Linings Playbook, Animal Kindom",Jacki Weaver,Silver Linings Playbook,1947-05-25
64,nm0000273,2016-12-11,2016-12-11,"Argo, Little Miss Sunshine, The Heart is a Lonely Hunter, The Russians Are Coming The Russians Are Coming",Alan Arkin,Argo,1934-03-26
65,nm0910607,2016-12-11,2016-12-11,"Django Unchained, Inglourious Basterds",Christoph Waltz,Django Unchained,1956-10-04
66,nm0000134,2016-12-11,2016-12-11,"Silver Linings Playbook, Cape Fear, Awakenings, Raging Bull, The Deer Hunter, Taxi Driver, The Godfather Part II",Robert De Niro,Raging Bull,1943-08-17
67,nm0000450,2016-12-11,2016-12-11,"The Master, Doubt, Charlie Wilson's War, Capote",Philip Seymour Hoffman,The Master,1967-07-23
68,nm0000169,2016-12-11,2016-12-11,"Lincoln, In the Valley of Elah, The Fugitive, JFK",Tommy Lee Jones,The Fugitive,1946-09-15
69,nm0241121,2016-12-11,2016-12-11,The Artist,Jean Dujardin,The Artist,1972-06-19
70,nm0065007,2016-12-11,2016-12-11,A Better Life,Demián Bichir,The Hateful Eight,1963-08-01
71,nm0000123,2016-12-11,2016-12-11,"The Descendants, Up in the Air, Michael Clayton, Syriana",George Clooney,The Ides of March,1961-05-06
72,nm0000198,2016-12-11,2021-03-17,"Mank, Darkest Hour, Tinker Tailor Soldier Spy",Gary Oldman,The Dark Knight,1958-03-21
