Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0587277,2016-07-18,2016-07-18,"1929 – [b]Two Arabian Knights[/b]
1930 – [b]All Quiet on the Western Front[/b]
1931 – The Front Page",Lewis Milestone,All Quiet on the Western Front,1895-09-30
2,nm0928514,2016-07-18,2016-07-18,1929 – Speedy,Ted Wilde,The Kid Brother,1889-12-16
3,nm0097648,2016-07-18,2016-07-18,"1929 – [b]7th Heaven[/b]
1932 – [b]Bad Girl[/b]",Frank Borzage,7th Heaven,1894-04-23
4,nm0107543,2016-07-18,2016-07-18,1929 – Sorrell and Son,Herbert Brenon,Beau Geste,1880-01-13
5,nm0896542,2016-07-18,2016-07-18,"1929 – The Crowd
1930 – Hallelujah!
1932 – The Champ
1939 – The Citadel
1957 – War and Peace",King Vidor,The Crowd,1894-02-08
6,nm0515979,2016-07-18,2016-07-18,"1930 – [b]The Divine Lady[/b]
1930 – Drag
1930 – Weary River
1934 – [b]Cavalcade[/b]
1936 – Mutiny on the Bounty",Frank Lloyd,Mutiny on the Bounty,1886-02-02
7,nm0000859,2016-07-18,2016-07-18,1930 – Madame X,Lionel Barrymore,You Can't Take It with You,1878-04-28
8,nm0064600,2016-07-18,2016-07-18,1930 – The Broadway Melody,Harry Beaumont,The Broadway Melody,1888-02-10
9,nm0191899,2016-07-18,2016-07-18,1930 – In Old Arizona,Irving Cummings,Curly Top,1888-10-09
10,nm0523932,2016-07-18,2016-07-18,"1930 – The Patriot
1930 – The Love Parade
1944 – Heaven Can Wait",Ernst Lubitsch,To Be or Not to Be,1892-01-29
11,nm0113284,2016-07-18,2016-07-18,"1930 – Anna Christie
1930 – Romance
1931 – A Free Soul
1944 – The Human Comedy
1946 – National Velvet
1947 – The Yearling",Clarence Brown,Anna Karenina,1890-05-10
12,nm0502752,2016-07-18,2016-07-18,"1930 – The Divorcee
1937 – The Great Ziegfeld",Robert Z. Leonard,The Great Ziegfeld,1889-10-07
13,nm0851537,2016-07-18,2016-07-18,"1931 – [b]Skippy[/b]
1939 – Boys Town",Norman Taurog,The Adventures of Tom Sawyer,1899-02-23
14,nm0749484,2016-07-18,2016-07-18,1931 – Cimarron,Wesley Ruggles,London Town,1889-06-11
15,nm0903049,2016-07-18,2016-07-18,"1931 – Morocco
1932 – Shanghai Express",Josef von Sternberg,Dishonored,1894-05-29
16,nm0001008,2016-07-18,2016-07-18,"1934 – Lady for a Day
1935 – [b]It Happened One Night[/b]
1937 – [b]Mr. Deeds Goes to Town[/b]
1939 – [b]You Can't Take It With You[/b]
1940 – Mr. Wmith Goes to Washington
1947 – It's a Wonderful Life",Frank Capra,It's a Wonderful Life,1897-05-18
17,nm0002030,2016-07-18,2016-07-18,"1934 – Little Women
1941 – The Philadelphia Story
1948 – A Double Life
1951 – Born Yesterday
1965 – [b]My Fair Lady[/b]",George Cukor,My Fair Lady,1899-07-07
18,nm0006276,2016-07-18,2016-07-18,1935 – One Night of Love,Victor Schertzinger,Paycheck,1888-04-08
19,nm0886754,2016-07-18,2016-07-18,"1935 – The Thin Man
1937 – San Francisco",W.S. Van Dyke,The Thin Man,1889-03-21
20,nm0000406,2016-07-18,2016-07-18,"1936 – [b]The Informer[/b]
1940 – Stagecoach
1941 – [b]The Grapes of Wrath[/b]
1942 – [b]How Green Was My Valley[/b]
1953 – [b]The Quiet Man[/b]",John Ford,The Quiet Man,1894-02-01
21,nm0002031,2016-07-18,2016-07-18,"1936 – Captain Blood
1939 – Angels with Dirty Faces
1939 – Four Daughters
1943 – Yankee Doodle Dandy
1944 – [b]Casablanca[/b]",Michael Curtiz,Casablanca,1886-12-24
22,nm0368871,2016-07-18,2016-07-18,1936 – The Lives of a Bengal Lancer,Henry Hathaway,True Grit,1898-03-13
23,nm0478441,2016-07-18,2016-07-18,"1937 – My Man Godfrey
1938 – Stage Door",Gregory La Cava,Stage Door,1892-03-10
24,nm0943758,2016-07-18,2016-07-18,"1937 – Dodsworth
1940 – Wuthering Heights
1941 – The Letter
1942 – The Little Foxes
1943 – [b]Mrs. Miniver[/b]
1947 – [b]The Best Years of Our Lives[/b]
1950 – The Heiress
1952 – Detective Story
1954 – Roman Holiday
1957 – Friendly Persuasion
1960 – [b]Ben-Hur[/b]
1966 – The Collector",William Wyler,The Best Years of Our Lives,1902-07-01
25,nm0564970,2016-07-18,2016-07-18,"1938 – [b]The Awful Truth[/b]
1945 – [b]Going My Way[/b]
1946 – The Bells of St. Mary's",Leo McCarey,An Affair to Remember,1896-10-03
26,nm0226189,2016-07-18,2016-07-18,1938 – The Life of Emile Zola,William Dieterle,Faust: Eine deutsche Volkssage,1893-07-15
27,nm0291548,2016-07-18,2016-07-18,1938 – The Good Earth,Sidney Franklin,The Good Earth,1893-03-21
28,nm0920074,2016-07-18,2016-07-18,"1938 – A Star Is Born
1950 – Battleground
1955 – The High and the Mighty",William A. Wellman,A Star Is Born,1896-02-29
29,nm0281808,2016-07-18,2016-07-18,1940 – Gone with the Wind,Victor Fleming,Gone with the Wind,1889-02-23
30,nm0939992,2016-07-18,2016-07-18,"1940 – Goodbye, Mr. Chips
1941 – Kitty Foyle
1943 – Kings Row",Sam Wood,"Goodbye, Mr. Chips",1883-07-10
31,nm0000033,2016-07-18,2016-07-18,"1941 – Rebecca
1945 – Lifeboat
1946 – Spellbound
1955 – Rear Window
1961 – Psycho",Alfred Hitchcock,Psycho,1899-08-13
32,nm0355284,2016-07-18,2016-07-18,1942 – Here Comes Mr. Jordan,Alexander Hall,Here Comes Mr. Jordan,1894-01-11
33,nm0001328,2016-07-18,2016-07-18,1942 – Sergeant York,Howard Hawks,Rio Bravo,1896-05-30
34,nm0000080,2016-07-18,2016-07-18,1942 – Citizen Kane,Orson Welles,Citizen Kane,1915-05-06
35,nm0268513,2016-07-18,2016-07-18,1943 – Wake Island,John Farrow,Around the World in 80 Days,1904-02-10
36,nm0503777,2016-07-18,2016-07-18,1943 – Random Harvest,Mervyn LeRoy,Gypsy,1900-10-15
37,nm0828419,2016-07-18,2016-07-18,"1944 – The More the Merrier
1952 – [b]A Place in the Sun[/b]
1954 – Shane
1957 – [b]Giant[/b]
1960 – The Diary of Anne Frank",George Stevens,Giant,1904-12-18
38,nm0454771,2016-07-18,2016-07-18,"1944 – The Song of Bernadette
1945 – Wilson",Henry King,The Song of Bernadette,1886-01-24
39,nm0000697,2016-07-18,2016-07-18,"1945 – Double Indemnity
1946 – [b]The Lost Weekend[/b]
1951 – Sunset Boulevard
1954 – Stalag 17
1955 – Sabrina
1958 – Witness for the Prosecution
1960 – Some Like It Hot
1961 – [b]The Apartment[/b]",Billy Wilder,The Apartment,1906-06-22
40,nm0695937,2016-07-18,2016-07-18,"1945 – Laura
1964 – The Cardinal",Otto Preminger,Anatomy of a Murder,1905-12-05
41,nm0719756,2016-07-18,2016-07-18,1946 – The Southerner,Jean Renoir,La règle du jeu,1894-09-15
42,nm0000180,2016-07-18,2016-07-19,"1947 – Brief Encounter
1948 – Great Expectations
1956 – Summertime
1958 – [b]The Bridge on the River Kwai[/b]
1963 – [b]Lawrence of Arabia[/b]
1966 – Doctor Zhivago
1985 – A Passage to India",David Lean,Lawrence of Arabia,1908-03-25
43,nm0802563,2016-07-18,2016-07-18,1947 – The Killers,Robert Siodmak,Nachts wenn der Teufel kam,1900-08-08
44,nm0001415,2016-07-18,2016-07-18,"1948 – [b]Gentleman's Agreement[/b]
1952 – A Streetcar Named Desire
1955 – [b]On the Waterfront[/b]
1956 – East of Eden
1964 – America America",Elia Kazan,On the Waterfront,1909-09-07
45,nm0229424,2016-07-18,2016-07-18,1948 – Crossfire,Edward Dmytryk,The Caine Mutiny,1908-09-04
46,nm0467396,2016-07-18,2016-07-18,1948 – The Bishop's Wife,Henry Koster,Harvey,1905-05-01
47,nm0001379,2016-07-18,2016-07-19,"1949 – [b]The Treasure of the Sierra Madre[/b]
1951 – The Asphalt Jungle
1952 – The African Queen
1953 – Moulin Rouge
1986 – Prizzi's Honor",John Huston,The Treasure of the Sierra Madre,1906-08-05
48,nm0514822,2016-07-18,2016-07-18,1949 – The Snake Pit,Anatole Litvak,The Snake Pit,1902-05-10
49,nm0624535,2016-07-18,2016-07-18,1949 – Johnny Belinda,Jean Negulesco,Boy on a Dolphin,1900-02-26
50,nm0000059,2016-07-18,2016-07-18,1949 – Hamlet,Laurence Olivier,Sleuth,1907-05-22
51,nm0003593,2016-07-18,2016-07-18,"1949 – The Search
1953 – High Noon
1954 – [b]From Here to Eternity[/b]
1960 – The Nun's Story
1961 – The Sundowners
1967 – [b]A Man for All Seasons[/b]
1978 – Julia",Fred Zinnemann,A Man for All Seasons,1907-04-29
52,nm0000581,2016-07-18,2016-07-18,"1950 – [b]A Letter to Three Wives[/b]
1951 – [b]All About Eve[/b]
1953 – Five Fingers
1973 – Sleuth",Joseph L. Mankiewicz,All About Eve,1909-02-11
53,nm0715346,2016-07-18,2016-07-18,"1950 – The Fallen Idol
1951 – The Third Man
1969 – [b]Oliver![/b]",Carol Reed,The Third Man,1906-12-30
54,nm0744035,2016-07-18,2016-07-18,"1950 – All the King's Men
1962 – The Hustler",Robert Rossen,The Hustler,1908-03-16
55,nm0591486,2016-07-18,2016-07-18,"1952 – An American in Paris
1959 – [b]Gigi[/b]",Vincente Minnelli,An American in Paris,1903-02-28
56,nm0001124,2016-07-18,2016-07-18,1953 – The Greatest Show on Earth,Cecil B. DeMille,The Ten Commandments,1881-08-12
57,nm0910199,2016-07-18,2016-07-18,1954 – Lili,Charles Walters,Lili,1911-11-17
58,nm0780833,2016-07-18,2016-07-18,1955 – The Country Girl,George Seaton,Miracle on 34th Street,1911-04-17
59,nm0542720,2016-07-18,2016-07-18,1956 – [b]Marty[/b],Delbert Mann,Marty,1920-01-30
60,nm0517597,2016-07-18,2016-07-18,"1956 – Picnic
1958 – Sayonara",Joshua Logan,Fanny,1908-10-05
61,nm0836328,2016-07-18,2016-07-18,1956 – Bad Day at Black Rock,John Sturges,The Great Escape,1910-01-03
62,nm0027183,2016-07-18,2016-07-18,1957 – Around the World in 80 Days,Michael Anderson,Logan's Run,1920-01-30
63,nm0485943,2016-07-18,2016-07-18,1957 – The King and I,Walter Lang,The King and I,1896-08-10
64,nm0001486,2016-07-18,2016-07-19,"1958 – 12 Angry Men
1976 – Dog Day Afternoon
1977 – Network
1983 – The Verdict",Sidney Lumet,12 Angry Men,1924-06-25
65,nm0733476,2016-07-18,2016-07-18,"1958 – Peyton Place
1959 – The Inn of the Sixth Happiness",Mark Robson,Peyton Place,1913-12-04
66,nm0112218,2016-07-18,2016-07-18,"1959 – Cat on a Hot Tin Roof
1967 – The Professionals
1968 – In Cold Blood",Richard Brooks,In Cold Blood,1912-05-18
67,nm0936404,2016-07-18,2016-07-18,"1959 – I Want to Live!
1962 – [b]West Side Story[/b]
1966 – [b]The Sound of Music[/b]",Robert Wise,West Side Story,1914-09-10
68,nm0006452,2016-07-18,2016-07-18,"1959 – The Defiant Ones
1962 – Judgment at Nuremberg
1968 – Guess Who's Coming to Dinner",Stanley Kramer,Judgment at Nuremberg,1913-09-29
69,nm0002338,2016-07-18,2016-07-18,1960 – Room at the Top,Jack Clayton,The Innocents,1921-03-01
70,nm0202088,2016-07-18,2016-07-18,1961 – Never on Sunday,Jules Dassin,Du rififi chez les hommes,1911-12-18
71,nm0002153,2016-07-18,2016-07-18,1961 – Sons and Lovers,Jack Cardiff,Sons and Lovers,1914-09-18
72,nm0730385,2016-07-18,2016-07-18,1962 – [b]West Side Story[/b],Jerome Robbins,West Side Story,1918-10-11
